route,key,locale,type,severity,suggestion
(component),"t(""testimonials.quote2.name""),",,placeholder,low,Replace with final copy or remove
(component),"t(""testimonials.quote3.text""),",,placeholder,low,Replace with final copy or remove
(component),"t(""testimonials.quote3.author""),",,placeholder,low,Replace with final copy or remove
(component),"t(""testimonials.quote3.name""),",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.eyebrow"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.headlineAccent"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.subheading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.ctaPrimary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.ctaSecondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hallucinationSafe.tooltip.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hallucinationSafe.tooltip.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.trustIndicators.ferpaCompliant"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""hero.trustIndicators.teachers"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""problem.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""problem.body"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""solution.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""solution.bodyPrimary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""solution.bodySecondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""stats.subtitle"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step1.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step1.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step1.example""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step2.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step2.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step2.example""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step3.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step3.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.diagram.step3.example""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step1.number""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step1.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step1.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step2.number""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step2.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step2.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step3.number""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step3.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""howItWorks.steps.step3.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demo.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demo.ctaButton"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demo.tryItYourself"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demo.testimonial.name"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.parentMessages.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.parentMessages.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.parentMessages.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.reportCards.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.reportCards.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.reportCards.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.gradingComments.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.gradingComments.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.gradingComments.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.schoolCommunications.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.schoolCommunications.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.schoolCommunications.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.referenceLetters.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.referenceLetters.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.referenceLetters.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.documentation.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.documentation.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""useCases.cards.documentation.examples""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.tableHeaders.feature"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.tableHeaders.genericAI"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.tableHeaders.zazaDraft"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.training.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.training.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.training.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.safety.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.safety.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.safety.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.toneControl.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.toneControl.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.toneControl.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.compliance.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.compliance.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.compliance.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.useCases.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.useCases.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.useCases.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.outputQuality.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.outputQuality.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.outputQuality.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.learningCurve.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.learningCurve.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.learningCurve.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.community.feature""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.community.generic""),",,placeholder,low,Replace with final copy or remove
(component),"t(""comparison.rows.community.zaza""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.beatWritersBlock.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.beatWritersBlock.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.writeWithConfidence.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.writeWithConfidence.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.saveTime.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.saveTime.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.breakBarriers.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""whyChoose.benefits.breakBarriers.description""),",,placeholder,low,Replace with final copy or remove
(component),"t(""testimonials.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""finalCTA.heading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""finalCTA.subheading"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""finalCTA.button"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.home"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""404.home"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""404.blog"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.hero.preheadline"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.hero.headline"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.hero.subheadline"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.trust.teachers"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.trust.ferpa"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.trust.cancel"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.trust.noCard"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.toggle.monthly"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.toggle.annual"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.toggle.save"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.free.badge"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.free.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.premium.badge"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.premium.priceMonthly"") : t(""pricing.premium.priceAnnual"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.premium.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.team.badge"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.bundle.badge"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.bundle.originalPrice"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.bundle.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.comparison.ctaFree"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.comparison.ctaPremium"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""pricing.finalCta.primary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.toneGuardrails.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.toneGuardrails.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.translationChecks.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.translationChecks.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.reviewSteps.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.reviewSteps.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step1.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step1.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step2.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step2.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step3.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.step3.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.whoItsFor.item1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.whoItsFor.item2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.whoItsFor.item3""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.hero.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.hero.cta.secondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.features.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.howItWorks.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.whoItsFor.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.change.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.techNote.body"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.social.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.draft.cta.secondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.turn.pain1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.turn.pain2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.turn.pain3""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.change.step1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.change.step2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.change.step3""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.change.step4""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.faster.title""),",,placeholder,low,Replace with final copy or remove
